"","Diagnostic","Age_interval10","mean.K","SD_K","mean.I","SD_I","mean.S","SD_S","N_SUBJ"
"1","AD","[60,70)",-0.341302723169357,0.000804152677041187,5.92523895113748,0.015486667513809,3.30184100910256,0.00421621479379564,1
"2","AD","[70,80)",-0.33243290448554,0.00850128037077285,5.94527625061794,0.0340795553981046,3.27099437263141,0.0437919473896656,8
"3","AD","[80,90)",-0.34661176344672,0.00341154623633727,5.9489389864385,0.0547202418204341,3.28675306778633,0.0549872336591578,4
"4","MCI","[60,70)",-0.326682549614849,0.00665103525313203,5.96836151507741,0.0239069621449973,3.24101936863728,0.0396662743309604,11
"5","MCI","[70,80)",-0.327084619376264,0.00868467251893371,5.96872465565396,0.0402684374203513,3.26645671703124,0.0446286590720638,17
"6","MCI","[80,90)",-0.337011592837588,0.0104062022080874,5.94009319066264,0.0152200391637798,3.28407538192079,0.0443442074507327,3
"7","CTL","[40,50)",-0.315870214519267,0.00807477128921277,6.03137023733243,0.0259228240881971,3.25426838913623,0.033657476008548,4
"8","CTL","[50,60)",-0.321238368348331,0.00878819088975346,6.00896072909773,0.0406523077516,3.24798342986586,0.0260959133365741,12
"9","CTL","[60,70)",-0.323787140882449,0.00778772819813041,5.98959215274443,0.0312317057136666,3.24298362772198,0.0390061158582833,34
"10","CTL","[70,80)",-0.326433414107313,0.00864513519832001,5.95481703623317,0.0391311264455642,3.25996601398259,0.0352856941774461,26
"11","CTL","[80,90)",-0.327295301604802,0.00223291368626927,5.99161366062631,0.00409830088516217,3.25671394221626,0.00014803942162116,1
